cpro,año,alquiler_mediano,alquiler_m2,superficie_m2,n_contratos,neto_mes_18_25,neto_mes_26_35,neto_mes_36_45,neto_mes_18_34,sal_26_35,paro_total,factor_2020,smi_mes,provincia,ccaa,tasa_esfuerzo,tasa_esfuerzo_18_25,tasa_esfuerzo_36_45,tasa_esfuerzo_18_34,sobre_30,alquiler_real,salario_real_26_35,D_2021,alquiler_mediano_lag1,neto_mes_26_35_lag1,paro_total_lag1,tasa_esfuerzo_lag1,var_alquiler_pct,var_salario_pct
44,2022,364.92,4.442018265768572,91.0,4620.0,695.2292879166666,1301.09637,1495.04552,1070.4082334009197,18906.0,8.94,0.8949107299739896,1000.0,Teruel,Aragón,28.05,52.49,24.41,34.09,0,326.57,1164.37,1,350.0,1236.861835,8.38,28.3,4.262857142857146,5.193347646627
44,2023,382.7425149700598,4.6489361702127665,91.0,4922.0,728.9222166666667,1371.6772533333333,1554.83168,1120.4729509189024,20096.0,9.39,0.8643768521205406,1080.0,Teruel,Aragón,27.9,52.51,24.62,34.16,0,330.83,1185.65,1,364.92,1301.09637,8.94,28.05,4.883951268787623,5.424723714611024
44,2024,400.0,4.953445014901375,91.0,5119.0,769.1893754166667,1441.487085,1626.1599791666667,1175.1028511397737,21273.0,7.2,0.8410456579083591,1134.0,Teruel,Aragón,27.75,52.0,24.6,34.04,0,336.42,1212.36,1,382.7425149700598,1371.6772533333333,9.39,27.9,4.508902030726891,5.089377366069225
45,2011,400.0,4.852002835873804,88.0,8047.0,607.6324166666667,1091.3266454166667,1256.0195033333332,960.5077433098096,15373.0,23.87,1.0717791932800231,641.4,Toledo,Castilla - La Mancha,36.65,65.83,31.85,41.64,1,428.71,1169.66,0,,,,,,
45,2012,375.0,4.574257425742574,88.0,8295.0,552.535,1033.7389191666668,1221.0849316666665,911.8907298581403,14462.0,28.76,1.0461898360861621,641.4,Toledo,Castilla - La Mancha,36.28,67.87,30.71,41.12,1,392.32,1081.49,0,400.0,1091.3266454166667,23.87,36.65,-6.25,-5.276855146152226
45,2013,350.0,4.261576725854403,89.0,8657.0,492.67704166666664,1008.5798466666666,1222.8049700000001,879.3895259495414,14064.0,32.06,1.031656722448744,645.3,Toledo,Castilla - La Mancha,34.7,71.04,28.62,39.8,1,361.08,1040.51,0,375.0,1033.7389191666668,28.76,36.28,-6.666666666666665,-2.4337936817046435
45,2014,340.0,4.095436865572526,89.0,9480.0,461.928625,994.7992491666668,1221.7966716666667,856.1761939393551,13846.0,29.43,1.0332160647146191,645.3,Toledo,Castilla - La Mancha,34.18,73.6,27.83,39.71,1,351.29,1027.84,0,350.0,1008.5798466666666,32.06,34.7,-2.857142857142858,-1.366336789848066
45,2015,330.0,4.0,89.0,10396.0,456.6217916666667,996.8853029166667,1235.3197316666667,848.106458659105,13879.0,27.68,1.0384115222946557,648.6,Toledo,Castilla - La Mancha,33.1,72.27,26.71,38.91,1,342.68,1035.18,0,340.0,994.7992491666668,29.43,34.18,-2.941176470588236,0.20969595139395114
45,2016,333.3333333333333,4.069767441860465,89.0,11550.0,474.88354166666664,1006.5570066666668,1264.619695,850.3680158539565,14032.0,25.4,1.0405208860397714,655.2,Toledo,Castilla - La Mancha,33.12,70.19,26.36,39.2,1,346.84,1047.34,0,330.0,996.8853029166667,27.68,33.1,1.0101010101009944,0.9701922299087729
45,2017,340.0,4.151016836455729,89.0,12972.0,506.56845833333335,1023.3086504166666,1291.1913216666665,861.470258948374,14297.0,20.91,1.0205611862446453,707.7,Toledo,Castilla - La Mancha,33.23,67.12,26.33,39.47,1,346.99,1044.35,0,333.3333333333333,1006.5570066666668,25.4,33.12,2.0000000000000018,1.664251864429911
45,2018,350.0,4.276315789473684,89.0,14496.0,541.4530833333333,1057.1280066666666,1334.4295266666666,888.6494647254378,14832.0,19.47,1.0037444693258832,735.9,Toledo,Castilla - La Mancha,33.11,64.64,26.23,39.39,1,351.31,1061.09,0,340.0,1023.3086504166666,20.91,33.23,2.941176470588225,3.304902800951548
45,2019,374.7280571501942,4.657198835647112,88.0,16802.0,583.8297083333333,1101.6905466666667,1380.0401983333334,924.9134388139214,15544.0,16.86,0.9967743538313801,900.0,Toledo,Castilla - La Mancha,34.01,64.18,27.15,40.51,1,373.52,1098.14,0,350.0,1057.1280066666666,19.47,33.11,7.065159185769776,4.215434622767655
45,2020,395.0,4.8773494148186165,88.0,18218.0,587.1074583333333,1073.8164366666667,1362.9584383333333,917.166509708885,15096.0,18.84,1.0,950.0,Toledo,Castilla - La Mancha,36.78,67.28,28.98,43.07,1,395.0,1073.82,0,374.7280571501942,1101.6905466666667,16.86,34.01,5.409774491927255,-2.5301215558522605
45,2021,400.0,5.072463768115942,88.0,19327.0,630.1191254166666,1151.7495933333335,1422.6852866666668,971.6260304478164,16388.0,16.41,0.9699974935414286,950.0,Toledo,Castilla - La Mancha,34.73,63.48,28.12,41.17,1,388.0,1117.19,1,395.0,1073.8164366666667,18.84,36.78,1.2658227848101333,7.2575864929564915
45,2022,420.0,5.357142857142858,87.0,20495.0,679.2994229166667,1232.235525,1485.3184066666665,1031.826071112649,17745.0,15.19,0.8949107299739896,1000.0,Toledo,Castilla - La Mancha,34.08,61.83,28.28,40.7,1,375.86,1102.74,1,400.0,1151.7495933333335,16.41,34.73,5.000000000000004,6.988145004134827
45,2023,450.0,5.718448672575538,86.0,22186.0,720.0722916666667,1304.0026416666667,1546.2314883333331,1085.840271651903,18955.0,13.64,0.8643768521205406,1080.0,Toledo,Castilla - La Mancha,34.51,62.49,29.1,41.44,1,388.97,1127.15,1,420.0,1232.235525,15.19,34.08,7.14285714285714,5.824139558601571
45,2024,475.0,6.097560975609756,86.0,23596.0,749.9723954166666,1361.4756466666668,1592.8361875,1126.47069156062,19924.0,13.87,0.8410456579083591,1134.0,Toledo,Castilla - La Mancha,34.89,63.34,29.82,42.17,1,399.5,1145.06,1,450.0,1304.0026416666667,13.64,34.51,5.555555555555558,4.407430105091104
46,2011,400.0,4.592229125436737,90.0,52037.0,520.8500833333334,1078.2413991666667,1352.2823383333332,934.3970112490839,15166.0,23.57,1.0717791932800231,641.4,Valencia/València,Comunitat Valenciana,37.1,76.8,29.58,42.81,1,428.71,1155.64,0,,,,,,
46,2012,395.0,4.431818181818182,90.0,54432.0,471.4497083333333,1028.8082466666667,1307.6206533333334,891.1078645995939,14384.0,26.6,1.0461898360861621,641.4,Valencia/València,Comunitat Valenciana,38.39,83.78,30.21,44.33,1,413.24,1076.33,0,400.0,1078.2413991666667,23.57,37.1,-1.2499999999999956,-4.584609025233599
46,2013,366.6666666666667,4.201754385964912,91.0,58400.0,432.89712499999996,1006.2409379166667,1301.986045,865.756364805183,14027.0,27.66,1.031656722448744,645.3,Valencia/València,Comunitat Valenciana,36.44,84.7,28.16,42.35,1,378.27,1038.1,0,395.0,1028.8082466666667,26.6,38.39,-7.172995780590707,-2.1935388662676414
46,2014,350.0,4.1120449009811315,91.0,64570.0,413.85495833333334,995.2417454166667,1294.6313983333334,843.4798335159851,13853.0,25.38,1.0332160647146191,645.3,Valencia/València,Comunitat Valenciana,35.17,84.57,27.03,41.49,1,361.63,1028.3,0,366.6666666666667,1006.2409379166667,27.66,36.44,-4.545454545454552,-1.0930972976286202
46,2015,350.0,4.107513850415511,91.0,72572.0,422.82975000000005,1009.9705491666667,1320.135415,844.4996203651432,14086.0,21.81,1.0384115222946557,648.6,Valencia/València,Comunitat Valenciana,34.65,82.78,26.51,41.44,1,363.44,1048.77,0,350.0,995.2417454166667,25.38,35.17,0.0,1.479922221694352
46,2016,360.0694444444444,4.207119741100324,91.0,80249.0,445.539875,1023.7511466666666,1338.9965250000002,850.763704319134,14304.0,20.72,1.0405208860397714,655.2,Valencia/València,Comunitat Valenciana,35.17,80.82,26.89,42.32,1,374.66,1065.23,0,350.0,1009.9705491666667,21.81,34.65,2.8769841269841168,1.364455380542573
46,2017,375.0,4.310344827586207,91.0,88105.0,479.09779166666664,1050.9962729166666,1366.4578266666667,868.3985491877414,14735.0,18.54,1.0205611862446453,707.7,Valencia/València,Comunitat Valenciana,35.68,78.27,27.44,43.18,1,382.71,1072.61,0,360.0694444444444,1023.7511466666666,20.72,35.17,4.146576663452284,2.6613036125732403
