cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
3,Alicante/Alacant,Comunitat Valenciana,2023,479.1666666666667,0.8643768521205406,1473.3967616666666,36-45,32.52,414.18,1
3,Alicante/Alacant,Comunitat Valenciana,2024,500.0,0.8410456579083591,660.9674354166666,18-25,75.65,420.52,1
3,Alicante/Alacant,Comunitat Valenciana,2024,500.0,0.8410456579083591,1273.6943800000001,26-35,39.26,420.52,1
3,Alicante/Alacant,Comunitat Valenciana,2024,500.0,0.8410456579083591,1525.8282749999998,36-45,32.77,420.52,1
4,Almería,Andalucía,2011,375.1294444444444,1.0717791932800231,492.2087916666667,18-25,76.21,402.06,1
4,Almería,Andalucía,2011,375.1294444444444,1.0717791932800231,865.1478479166667,26-35,43.36,402.06,1
4,Almería,Andalucía,2011,375.1294444444444,1.0717791932800231,1088.8613091666666,36-45,34.45,402.06,1
4,Almería,Andalucía,2012,350.0,1.0461898360861621,457.24612499999995,18-25,76.55,366.17,1
4,Almería,Andalucía,2012,350.0,1.0461898360861621,824.9439029166666,26-35,42.43,366.17,1
4,Almería,Andalucía,2012,350.0,1.0461898360861621,1047.5827304166667,36-45,33.41,366.17,1
4,Almería,Andalucía,2013,347.1467391304348,1.031656722448744,417.91312500000004,18-25,83.07,358.14,1
4,Almería,Andalucía,2013,347.1467391304348,1.031656722448744,790.6188366666667,26-35,43.91,358.14,1
4,Almería,Andalucía,2013,347.1467391304348,1.031656722448744,1026.2164829166666,36-45,33.83,358.14,1
4,Almería,Andalucía,2014,329.5138888888889,1.0332160647146191,403.24129166666665,18-25,81.72,340.46,1
4,Almería,Andalucía,2014,329.5138888888889,1.0332160647146191,774.8786129166666,26-35,42.52,340.46,1
4,Almería,Andalucía,2014,329.5138888888889,1.0332160647146191,1010.1601904166668,36-45,32.62,340.46,1
4,Almería,Andalucía,2015,322.18523550724643,1.0384115222946557,413.0745416666667,18-25,78.0,334.56,1
4,Almería,Andalucía,2015,322.18523550724643,1.0384115222946557,782.1481941666667,26-35,41.19,334.56,1
4,Almería,Andalucía,2015,322.18523550724643,1.0384115222946557,1024.3832841666665,36-45,31.45,334.56,1
4,Almería,Andalucía,2016,330.0,1.0405208860397714,424.1564583333333,18-25,77.8,343.37,1
4,Almería,Andalucía,2016,330.0,1.0405208860397714,797.3194941666667,26-35,41.39,343.37,1
4,Almería,Andalucía,2016,330.0,1.0405208860397714,1039.0488741666666,36-45,31.76,343.37,1
4,Almería,Andalucía,2017,337.5,1.0205611862446453,442.028,18-25,76.35,344.44,1
4,Almería,Andalucía,2017,337.5,1.0205611862446453,816.5364741666667,26-35,41.33,344.44,1
4,Almería,Andalucía,2017,337.5,1.0205611862446453,1058.2658541666667,36-45,31.89,344.44,1
4,Almería,Andalucía,2018,350.0,1.0037444693258832,468.25,18-25,74.75,351.31,1
4,Almería,Andalucía,2018,350.0,1.0037444693258832,858.5736179166666,26-35,40.77,351.31,1
4,Almería,Andalucía,2018,350.0,1.0037444693258832,1093.7287679166666,36-45,32.0,351.31,1
4,Almería,Andalucía,2019,360.0,0.9967743538313801,507.7390833333333,18-25,70.9,358.84,1
4,Almería,Andalucía,2019,360.0,0.9967743538313801,912.5581604166667,26-35,39.45,358.84,1
4,Almería,Andalucía,2019,360.0,0.9967743538313801,1135.61682,36-45,31.7,358.84,1
4,Almería,Andalucía,2020,377.6727987735787,1.0,531.229625,18-25,71.09,377.67,1
4,Almería,Andalucía,2020,377.6727987735787,1.0,916.3509854166667,26-35,41.21,377.67,1
4,Almería,Andalucía,2020,377.6727987735787,1.0,1145.759115,36-45,32.96,377.67,1
